site id,longname,lat,lon
0,ALB,Albany,44.6333,-123.1
1,ALD,Alder,46.8025,-122.310277778
2,ALF,Albeni Falls,48.1822,-117.0333
3,AMFI,Snake River at Neeley American Falls Inflow,42.7675,-112.8794444
4,AMRW,AMERICAN RIVER NEAR NILE,46.97761606,-121.168696
5,ANA,Anatone,46.0972,-116.9767
6,ANDI,SF Boise River at Anderson Ranch,43.3436111,-115.4775
7,ANTI,Henrys Fork at St. Anthony,43.96694444,-111.6725
8,ARD,Hugh Keenleyside (Arrow),49.3394,-117.7719
9,ARKI,Boise River Arrowrock Inflow,43.5941666667,-115.922222222
10,AUB,Green River near Auburn,47.3123228,-122.2040082
11,AUGW,AHTANUM CREEK AT UNION GAP,46.53596038,-120.4733968
12,BCL,Detroit,44.75,-122.2833
13,BDY,Boundary,48.9872222222,-117.3475
14,BENO,DESCHUTES R AT BENHAM FALLS NR BEND,43.93011715,-121.4119746
15,BFE,Bonners Ferry,48.6980555556,-116.3125
16,BFTI,Snake River nr Blackfoot,43.125278,-112.518889
17,BIGI,Boise River at Glenwood Bridge nr Boise,43.6601657,-116.2790102
18,BLFI,Blackfoot River nr Blackfoot,43.13055556,-112.4766667
19,BLKI,Blackfoot Reservoir Inflow,43.0058,-111.7156
20,BLU,Blue River,44.1625,-122.331944
21,BOMI,Boise River nr Middleton,43.6848841,-116.5737442
22,BON,Bonneville,45.6333333333,-121.954444444
23,BOX,Box,48.7811111111,-117.415277778
24,BRI,Brilliant,49.3244444444,-117.620277778
25,BRN,Brownlee,44.8363888889,-116.899444444
26,BRUNEAUR,Bruneau River nr Hot Spring,42.7711111,-115.7202778
27,BSHI,Blackfoot River nr Shelley,43.26277778,-112.0477778
28,BUHL,Snake River nr Buhl,42.6658333,-114.7122222
29,BUM,BUMPING RESERVOIR,46.87261385,-121.292586
30,CAB,Cabinet,48.0880555556,-116.072777778
31,CAN,Corra Linn,49.4669444444,-117.466944444
32,CAR,Carbon River near Fairfax,47.02788105,-122.0326105
33,CFM,Columbia Falls,48.3619444444,-114.183888889
34,CGR,Cougar,44.1333333333,-122.233333333
35,CHEI,Falls River nr Chester,44.0183333,-111.5666667
36,CHJ,Chief Joseph,47.9944444444,-119.634722222
37,CHL,Chelan,47.8347222222,-120.011944444
38,CLE,CLE ELUM RESERVOIR,47.24456209,-121.0678642
39,CLFW,NACHES RIVER NEAR CLIFFDELL,46.9065078,-121.0270249
40,COE,Coeur D'Alene,47.6661111111,-116.770555556
41,COR,Corra Linn,49.4669444444,-117.466944444
42,COT,Cottage Grove,43.7208,-123.0486
